First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
2,6,0,1,0,3,0,0,0,0,89,9,0,5,4,103,11,4,6,5,89,10,5,4,1,95,8,3,8,1,29,7,0,3,1,130,10,5,3,4,104,10,6,3,7,119,11,8,3,2,94,9,6,3,2,22,8,1,0,13,-1
8,9,0,1,0,2,1,0,0,0,116,10,2,1,3,82,10,4,3,2,124,10,0,3,2,110,8,3,5,0,6,7,0,5,3,88,9,0,4,2,114,11,6,1,5,108,10,2,1,0,119,10,7,2,1,19,7,2,1,7,-1
6,0,2,0,3,0,2,0,0,0,124,11,6,3,2,115,10,5,0,4,126,11,2,0,3,107,9,6,3,2,8,8,0,3,7,71,9,2,7,1,102,10,1,3,2,114,10,0,2,0,120,9,4,4,2,26,8,2,3,4,-1
9,9,0,2,1,4,0,1,0,0,102,10,2,2,2,91,8,2,4,1,111,10,4,3,0,109,9,2,7,1,24,7,3,4,5,72,9,1,3,4,106,10,3,1,5,148,12,7,2,1,94,9,7,4,6,25,8,2,3,8,-1
1,9,1,0,0,1,0,0,0,0,114,11,4,3,0,81,10,5,3,3,109,11,2,2,1,102,9,1,3,3,11,8,1,2,2,92,10,1,3,1,107,11,4,0,4,130,10,2,3,1,126,10,2,3,5,15,8,4,4,3,-1
6,0,0,1,1,1,0,1,0,0,98,10,3,3,1,109,10,4,0,1,111,10,2,2,0,113,9,1,2,5,3,8,1,3,6,79,9,1,5,3,88,9,2,1,5,142,11,2,1,1,112,9,2,3,2,3,8,3,1,5,1
4,2,0,1,2,1,1,0,0,0,103,10,3,2,0,109,10,2,1,2,91,9,0,1,2,121,9,3,2,1,20,7,2,3,4,93,9,3,4,1,87,9,1,0,4,161,11,3,0,1,113,9,0,3,4,5,7,2,3,2,1
6,1,0,1,2,0,0,0,0,0,139,12,5,1,1,104,9,1,1,1,102,10,2,2,2,135,9,2,0,0,27,8,1,2,3,87,9,1,6,0,78,8,2,2,3,127,10,3,1,0,128,9,0,1,2,10,7,0,1,4,1
4,4,1,1,2,0,0,1,0,0,110,9,0,2,1,89,9,3,2,1,115,10,1,1,0,143,10,2,1,2,8,7,1,2,3,63,9,1,1,4,97,9,2,0,0,137,11,5,0,1,105,8,0,4,4,22,7,0,2,4,-1
10,9,0,1,1,3,1,0,0,0,129,11,6,5,0,59,8,1,7,2,69,8,0,4,1,109,10,2,5,2,9,7,0,2,4,98,10,5,2,7,118,11,6,1,7,130,11,4,1,3,129,9,3,2,5,4,9,5,3,10,-1
