champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
876,4,15,10,10996,82,8,12,8,12712,523,5,16,11,11978,41,15,13,10,14863,21,4,21,8,12673,147,6,27,6,13157,51,15,26,7,16090,266,3,22,13,11029,105,23,17,5,15797,16,0,38,5,11069,-1,-1,2,4,0,0,0,0,0,0,-1
64,14,22,8,12951,110,10,25,4,11561,268,9,24,5,12067,15,12,26,8,12436,25,10,31,7,12322,61,7,17,9,12180,29,8,12,13,11183,223,9,14,9,11862,45,4,13,10,10010,517,4,14,14,9599,1,1,4,1,0,0,0,0,0,0,1
117,4,39,4,12959,29,20,16,12,15821,142,11,25,6,13926,31,6,30,9,13274,147,6,32,11,13866,99,3,32,7,12057,34,5,16,9,12598,429,15,14,9,15869,27,3,28,11,12393,5,13,15,11,14362,-1,-1,4,2,0,0,0,0,0,0,1
15,15,16,10,17559,96,4,23,8,14003,84,11,12,12,14226,24,5,22,13,14099,57,0,30,14,12533,157,6,21,11,14328,777,6,25,10,14616,79,10,22,4,14190,350,2,48,4,14251,523,32,14,7,22049,-1,-1,1,4,0,0,0,0,0,0,-1
22,4,32,8,14225,75,14,23,11,16177,68,16,26,13,16469,42,4,32,12,13999,39,13,21,11,16612,6,12,23,12,15338,147,7,34,10,14490,103,7,25,8,15175,420,8,25,13,14817,234,21,18,8,17061,1,-1,4,4,0,0,0,0,0,0,1
28,16,18,17,15322,875,25,33,14,22580,4,19,26,15,19884,268,4,35,16,13977,3,3,46,14,14102,84,20,27,14,17721,45,14,30,13,15108,201,6,48,13,14761,14,17,38,13,18709,429,19,30,14,18218,1,-1,4,3,0,0,0,0,0,0,1
54,3,23,11,12776,887,7,22,13,13112,10,18,20,10,19071,516,11,20,14,14232,78,6,21,8,12684,50,9,36,9,13686,111,5,39,9,13368,161,7,24,8,12461,96,22,21,7,17000,64,12,27,12,14013,1,-1,4,3,0,0,0,0,0,0,1
104,4,18,14,13162,141,5,18,14,12564,222,9,18,11,14142,92,12,10,9,14280,119,8,19,10,14871,99,7,37,6,14136,76,13,33,8,16122,67,12,23,5,15281,246,15,24,14,14991,18,11,20,5,14487,1,-1,2,4,0,0,0,0,0,0,-1
41,11,21,6,19070,517,8,19,8,14494,30,4,22,12,15202,44,3,37,7,14089,38,14,16,9,15710,235,11,26,6,16737,121,8,7,11,12974,36,10,22,10,14837,498,2,31,7,13987,96,11,24,6,16637,-1,1,4,2,0,0,0,0,0,0,1
157,3,19,12,8734,236,12,19,6,12662,222,12,15,6,11774,54,5,23,11,9423,32,5,18,11,8690,104,12,14,7,11931,96,12,24,7,11562,147,4,31,6,10272,266,11,17,7,11515,5,7,28,10,11134,1,-1,1,4,0,0,0,0,0,0,-1
41,10,17,11,15485,876,3,14,12,13283,421,7,20,11,13954,43,8,28,13,15187,142,17,13,16,17347,555,20,12,12,18091,96,6,32,10,15659,29,31,22,9,23053,25,4,41,8,14529,497,2,52,7,14306,-1,-1,2,4,0,0,0,0,0,0,-1
887,16,6,6,18313,63,10,9,8,15355,126,7,11,9,14449,236,15,11,8,18149,267,3,26,6,11582,875,4,3,8,13696,120,15,8,7,18064,84,11,7,10,14317,115,6,8,12,14574,89,1,6,14,8469,1,1,10,3,3,1,0,1,2,0,1
56,14,18,10,20129,32,8,13,13,16219,517,17,17,8,20859,11,16,11,14,20929,350,6,37,6,12887,875,5,5,10,14721,64,15,13,11,17331,112,4,18,10,13683,63,20,11,14,21946,43,7,25,16,14781,1,-1,7,3,3,2,0,0,1,0,1
92,13,2,8,19085,421,15,8,12,18034,112,3,8,12,14862,74,2,9,11,13099,147,2,17,9,12236,39,14,5,6,20183,36,16,11,7,20645,102,14,14,5,21178,161,2,12,11,12859,21,6,16,6,16279,-1,1,3,11,0,5,0,0,0,1,-1
29,12,9,14,13482,122,15,12,11,14842,50,4,20,8,13005,166,7,22,8,15166,777,5,8,14,12236,103,12,25,7,15043,235,7,37,7,15272,86,12,16,8,14325,96,20,20,15,16254,267,4,46,6,12750,-1,-1,3,4,0,0,0,0,0,0,-1
86,4,9,11,10332,61,11,20,8,13277,526,7,23,9,12065,711,9,19,12,12185,31,9,17,9,12144,7,8,19,11,10940,99,4,35,8,11258,523,23,17,8,15114,498,8,27,10,11422,115,6,32,4,12054,-1,-1,1,4,0,0,0,0,0,0,-1
11,22,8,14,16153,143,1,19,13,11784,43,6,31,9,13477,63,4,27,15,13008,222,11,19,9,14835,127,9,28,12,13513,432,9,25,9,13206,101,18,28,7,15404,235,10,40,5,15948,31,13,28,11,15393,-1,1,2,4,0,0,0,0,0,0,-1
43,7,44,12,15848,127,11,26,12,16870,555,21,21,9,21046,141,20,22,13,18776,54,11,33,12,18558,4,8,28,18,15347,876,11,18,15,16330,119,12,22,10,18730,234,18,23,15,18397,63,7,19,12,14013,1,-1,2,4,0,0,0,0,0,0,-1
133,8,9,7,8681,12,2,12,8,7288,114,7,9,11,8974,142,6,10,5,9300,150,2,14,6,7500,21,15,15,4,12048,101,3,23,5,8959,234,12,14,5,9845,117,2,28,5,8053,32,5,20,7,8663,1,-1,0,4,0,0,0,0,0,0,-1
154,1,11,9,6292,81,5,10,7,8101,17,4,8,8,7490,56,8,7,12,8522,55,2,4,8,6669,234,15,15,5,10171,34,9,25,3,8913,99,8,30,4,8967,22,7,23,4,8452,421,5,23,4,8450,-1,-1,0,4,0,0,0,0,0,0,-1
76,5,15,7,11149,711,8,16,10,11900,110,16,12,12,15315,44,5,24,9,11528,1,6,22,11,12228,15,13,22,7,15765,63,11,28,7,13528,136,1,26,9,11115,31,12,19,8,13635,238,12,17,9,12570,1,-1,1,4,0,0,0,0,0,0,-1
