champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
126,2,9,2,10298,5,8,10,1,9845,4,8,10,2,10652,145,14,14,1,12896,111,2,19,1,7451,516,1,4,6,6983,48,3,3,6,6660,142,1,1,6,6099,222,1,0,5,7623,412,1,0,11,4718,1,1,9,0,1,1,2,0,0,0,1
104,3,8,2,8821,5,11,4,1,9178,7,8,4,0,8498,236,7,3,2,8118,267,1,18,0,6674,82,3,0,6,4888,147,0,1,6,3393,202,1,0,5,4122,234,0,3,7,3575,112,1,1,6,4253,1,1,10,0,0,0,2,0,0,0,1
78,6,4,5,9467,60,4,4,7,6973,246,4,4,8,7703,202,3,3,2,8135,99,0,4,3,5171,14,1,4,6,9298,91,11,4,1,12172,55,11,2,6,12087,222,2,1,2,7552,350,0,11,2,5885,1,-1,0,6,1,2,0,1,0,0,-1
17,9,6,8,17319,141,13,5,1,17453,134,1,12,5,13458,236,10,9,9,14441,350,7,26,3,12405,166,7,3,8,14024,38,2,6,4,14598,91,10,5,9,16912,202,5,7,9,14363,111,2,8,10,8735,-1,1,6,6,4,0,1,0,2,0,1
16,0,0,0,859,234,0,0,0,1062,13,0,0,0,1052,222,0,0,0,677,37,0,0,0,890,887,0,0,0,1052,5,0,0,0,1147,104,0,0,0,968,523,0,0,0,677,117,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,-1
98,4,10,3,7368,5,2,12,1,8413,142,7,8,2,9135,119,11,5,0,13585,267,4,19,2,7354,14,2,1,5,11063,421,4,3,8,8340,16,0,4,4,5304,99,1,3,5,7126,497,1,4,6,4718,1,1,7,5,2,0,1,1,0,0,1
875,5,5,0,8167,33,4,9,2,8389,131,4,2,4,9306,236,4,2,6,8373,267,3,11,3,6552,166,0,1,3,4737,68,5,1,4,6735,104,0,3,5,6738,30,7,2,3,8224,89,3,6,5,5362,-1,1,4,0,1,1,2,0,0,0,1
104,5,2,2,9914,76,11,6,7,9352,157,4,11,3,10378,21,2,7,3,8664,89,4,12,1,6497,67,3,0,2,7194,91,6,4,8,7633,245,1,5,6,4671,235,3,6,6,7047,497,3,8,4,6634,1,1,9,0,1,1,2,0,0,0,1
23,7,4,8,11387,91,10,9,4,13535,3,5,8,6,10499,202,14,14,4,18227,99,6,23,6,11892,84,10,3,10,14279,238,4,8,7,9730,112,10,4,3,14202,21,4,9,10,9967,526,0,12,12,6459,-1,1,9,2,1,3,2,0,0,0,1
80,4,8,9,9637,238,13,6,9,14659,39,6,9,10,14258,81,7,9,4,14547,99,8,11,7,11863,31,13,7,8,16172,104,8,10,8,15448,54,9,12,7,13739,222,7,11,8,16602,412,2,15,7,8065,1,1,6,10,2,2,1,1,0,1,-1
122,8,8,6,13742,234,3,11,2,12355,4,3,10,2,12037,498,7,10,6,15002,99,6,12,1,10164,875,1,6,8,9391,64,5,4,5,12009,7,2,5,1,10689,202,7,3,7,15341,497,2,7,6,7907,1,1,7,2,2,2,2,0,0,1,1
164,2,10,5,7212,30,16,9,2,12788,777,11,7,2,10220,115,5,6,3,8652,235,2,12,2,7002,86,4,0,8,8927,163,2,5,9,6115,238,6,1,7,8302,202,2,1,7,5454,432,0,7,5,4551,1,1,6,2,1,1,2,0,0,0,1
24,8,0,7,10578,104,11,2,13,10975,4,5,6,11,9338,222,2,10,13,9077,16,0,16,7,6918,30,9,13,9,13631,163,25,7,2,18866,238,10,10,3,13267,555,3,13,11,9380,875,4,12,1,13570,-1,-1,0,11,0,4,0,2,0,1,-1
17,5,2,2,11146,234,5,0,3,8758,8,7,5,0,10968,21,5,5,5,9044,497,1,11,0,6566,58,0,1,6,5897,9,3,1,5,7565,91,2,2,6,7263,498,4,1,3,9851,25,0,6,3,5281,1,1,4,1,1,2,0,1,1,0,1
58,2,8,6,11237,91,16,6,9,16941,84,5,12,10,10120,202,11,8,7,15792,432,1,19,8,8554,17,9,3,5,17609,76,13,11,4,15520,39,4,4,10,13594,81,11,9,8,15726,89,3,14,8,9456,1,-1,1,11,0,4,1,0,0,1,-1
164,4,15,10,11504,234,8,16,5,13714,267,2,21,7,10149,235,7,16,7,13140,99,15,11,3,16456,58,9,4,4,13461,104,4,9,7,12679,245,13,3,8,14712,236,3,9,9,11660,117,3,8,8,8379,1,-1,5,6,2,3,0,2,2,0,1
